sport,start_time_weekday_cat,start_time_daytime_cat,start_time_season_cat,duration_s,distance_km,calories_kcal,speed_avg_kmh,speed_max_kmh,start_lat,start_long,end_lat,end_long,hydration_l,created_date_year,created_date_month,created_date_day,created_date_hour,created_date_minute,created_date_second,start_time_year,start_time_month,start_time_day,start_time_hour,start_time_minute,start_time_second,end_time_year,end_time_month,end_time_day,end_time_hour,end_time_minute,end_time_second,sport_BADMINTON,sport_BEACH_VOLLEY,sport_CROSSFIT,sport_CROSS_TRAINING,sport_CYCLING_SPORT,sport_CYCLING_TRANSPORTATION,sport_FITNESS_WALKING,sport_ICE_SKATING,sport_ROLLER_SKATING,sport_RUNNING,sport_RUNNING_CANICROSS,sport_SKIING_CROSS_COUNTRY,sport_STAIR_CLIMBING,sport_STRETCHING,sport_SWIMMING,sport_WALKING,sport_WEIGHT_TRAINING,source_INPUT_MANUAL_MOBILE,source_TRACK_MOBILE,start_time_weekday_Friday,start_time_weekday_Monday,start_time_weekday_Saturday,start_time_weekday_Sunday,start_time_weekday_Thursday,start_time_weekday_Tuesday,start_time_weekday_Wednesday,start_time_daytime_AFTERNOON,start_time_daytime_EVENING,start_time_daytime_MORNING,start_time_daytime_NIGHT,start_time_season_AUTUMN,start_time_season_SPRING,start_time_season_SUMMER,start_time_season_WINTER
WALKING,Friday,AFTERNOON,WINTER,2304,3.06,218.986,4.78125,6.3,64.231891,27.729507,64.231826,27.729467,0.13289327687626773,2017,1,20,16,10,53,2017,1,20,16,9,29,2017,1,20,16,47,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
WALKING,Saturday,MORNING,WINTER,1828,1.78,146.036,3.505470459518599,6.3,64.231678,27.729845,64.23192,27.729651,0.13289327687626773,2017,1,21,8,39,52,2017,1,21,8,13,25,2017,1,21,8,43,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
WALKING,Saturday,AFTERNOON,WINTER,2083,3.02,233.729,5.219395103216514,7.2,64.231861,27.730016,64.231838,27.729547,0.13289327687626773,2017,1,21,16,46,29,2017,1,21,16,45,0,2017,1,21,17,19,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
WALKING,Sunday,MORNING,WINTER,1877,2.18,165.019,4.181140117208312,6.3,64.231926,27.729348,64.231749,27.729532,0.13289327687626773,2017,1,22,8,28,7,2017,1,22,8,26,42,2017,1,22,8,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
SKIING_CROSS_COUNTRY,Sunday,MORNING,WINTER,3000,8.19,843.315,9.828,29.7,64.231721,27.729643,64.231802,27.729468,0.36871936842105263,2017,1,22,10,36,15,2017,1,22,10,35,11,2017,1,22,11,25,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
WALKING,Sunday,EVENING,WINTER,2144,2.43,185.922,4.080223880597015,6.3,64.23177,27.729895,64.231818,27.729585,0.13289327687626773,2017,1,22,19,31,29,2017,1,22,18,56,3,2017,1,22,19,31,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
WALKING,Monday,MORNING,WINTER,2624,2.45,205.133,3.361280487804878,7.2,64.231779,27.729723,64.231777,27.729532,0.13289327687626773,2017,1,23,8,57,5,2017,1,23,8,54,49,2017,1,23,9,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
WEIGHT_TRAINING,Monday,AFTERNOON,WINTER,3000,0.0,491.667,0.0,2.400000035762787,64.23074,27.729344,64.231801,27.72951,0.2025800774647887,2017,1,23,15,28,36,2017,1,23,14,28,0,2017,1,23,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
WALKING,Monday,AFTERNOON,WINTER,2227,2.36,186.102,3.814997754827121,6.3,64.23074,27.729344,64.231801,27.72951,0.13289327687626773,2017,1,23,16,17,37,2017,1,23,15,40,12,2017,1,23,16,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
WALKING,Tuesday,MORNING,WINTER,2180,2.65,196.708,4.376146788990825,40.5,64.231939,27.729954,64.231987,27.729544,0.13289327687626773,2017,1,24,7,13,48,2017,1,24,7,12,15,2017,1,24,7,48,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
